route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db
baseline_centerT,8,0.350000,12.825000,13.175000,14,40,34,0.200000,0.170000,0.064981,40,1.200000,18.000000
baseline_centerT,8,0.350000,12.825000,13.175000,16,120,116,0.600000,0.580000,0.052686,120,1.600000,18.000000
baseline_centerT,8,0.350000,12.825000,13.175000,18,185,184,0.925000,0.920000,0.044578,185,1.925000,18.000000
baseline_centerT,8,0.350000,12.825000,13.175000,20,200,200,1.000000,1.000000,0.031914,200,2.000000,18.000000
baseline_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022902,200,2.000000,18.000000
baseline_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016956,200,2.000000,18.000000
baseline_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013115,200,2.000000,18.000000
baseline_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010559,200,2.000000,18.000000
baseline_centerT,9,0.311111,12.844444,13.155556,14,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
baseline_centerT,9,0.311111,12.844444,13.155556,16,24,23,0.120000,0.115000,0.057453,24,1.120000,22.000000
baseline_centerT,9,0.311111,12.844444,13.155556,18,75,75,0.375000,0.375000,0.049263,75,1.375000,22.000000
baseline_centerT,9,0.311111,12.844444,13.155556,20,163,163,0.815000,0.815000,0.040871,163,1.815000,22.000000
baseline_centerT,9,0.311111,12.844444,13.155556,22,194,194,0.970000,0.970000,0.033943,194,1.970000,22.000000
baseline_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022339,200,2.000000,22.000000
baseline_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017770,200,2.000000,22.000000
baseline_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013364,200,2.000000,22.000000
baseline_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
baseline_centerT,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
baseline_centerT,10,0.280000,12.860000,13.140000,18,5,5,0.025000,0.025000,0.050892,5,1.025000,24.000000
baseline_centerT,10,0.280000,12.860000,13.140000,20,54,54,0.270000,0.270000,0.049065,54,1.270000,24.000000
baseline_centerT,10,0.280000,12.860000,13.140000,22,140,140,0.700000,0.700000,0.040953,140,1.700000,24.000000
baseline_centerT,10,0.280000,12.860000,13.140000,24,192,192,0.960000,0.960000,0.031848,192,1.960000,24.000000
baseline_centerT,10,0.280000,12.860000,13.140000,26,200,200,1.000000,1.000000,0.023108,200,2.000000,24.000000
baseline_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.018296,200,2.000000,24.000000
adaptive_weighted_centerT,8,0.350000,12.825000,13.175000,14,40,34,0.200000,0.170000,0.066765,40,1.200000,18.000000
adaptive_weighted_centerT,8,0.350000,12.825000,13.175000,16,120,116,0.600000,0.580000,0.052907,120,1.600000,18.000000
