metric,value
vivado_version,2024.2
fpga_part,xc7z020clg400-1
fpga_part_source,reference_default
reference_device_only,true
ip_vlnv,user.org:radar:dbf_axis:1.0
component_xml_created,true
ip_package_integrity_pass_flag,true
integrity_error_count,0
integrity_warning_count,0
s_axis_y_recognized_flag,true
m_axis_z_recognized_flag,true
aclk_recognized_flag,true
aresetn_recognized_flag,true
axis_clock_association_pass_flag,true
reset_polarity_pass_flag,true
packaged_hdl_file_count,10
packaged_w_mem_file_count,14
absolute_path_scan_pass_flag,true
formal_result_claimed,false
blocker_if_any,
